--------- beginning of main
07-15 00:50:40.416 17906 17932 I chatty  : uid=10247(com.smartvision.svplayer) Profile Saver expire 2 lines
07-15 00:50:42.241 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:50:58.097 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:14.024 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:29.821 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:51:45.651 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:02.782 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:18.326 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 11 lines
07-15 00:52:35.485 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:52:51.106 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 10 lines
07-15 00:53:06.815 17906 17920 I chatty  : uid=10247(com.smartvision.svplayer) HeapTaskDaemon expire 1 line
07-15 00:55:52.264 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200442(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 144us total 210.501ms
07-15 00:55:53.834 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202265(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 149us total 214.396ms
07-15 00:55:55.410 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202557(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 144us total 221.143ms
07-15 00:55:56.964 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202367(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 205.893ms
07-15 00:55:58.534 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200794(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 169us total 215.123ms
07-15 00:56:00.080 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201619(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 171us total 214.987ms
07-15 00:56:01.634 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198975(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 213us total 211.913ms
07-15 00:56:03.215 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199808(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 196us total 236.396ms
07-15 00:56:04.764 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202788(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 276us total 217.820ms
07-15 00:56:06.303 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201293(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 227us total 213.949ms
07-15 00:56:07.871 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198971(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 298us total 223.272ms
07-15 00:56:09.434 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201183(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 172us total 219.083ms
07-15 00:56:11.005 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201957(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 218us total 224.894ms
07-15 00:56:12.558 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201483(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 167us total 214.796ms
07-15 00:56:14.120 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201788(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 145us total 213.310ms
07-15 00:56:15.680 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201768(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 145us total 210.242ms
07-15 00:56:17.263 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201735(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 177us total 225.860ms
07-15 00:56:18.820 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202059(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 216.666ms
07-15 00:56:20.391 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202384(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 199us total 221.092ms
07-15 00:56:21.947 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200927(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 275us total 219.500ms
07-15 00:56:23.520 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202202(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 225.839ms
07-15 00:56:25.072 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201579(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 195us total 220.170ms
07-15 00:56:26.602 17906 17920 I vision.svplaye: Background concurrent copying GC freed 197511(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 306us total 208.950ms
07-15 00:56:28.153 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199216(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 174us total 213.077ms
07-15 00:56:29.717 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200396(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 213.730ms
07-15 00:56:31.282 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201958(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 176us total 214.203ms
07-15 00:56:32.839 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201540(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 545us total 207.717ms
07-15 00:56:34.413 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202317(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 146us total 214.827ms
07-15 00:56:35.987 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201956(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 203us total 220.513ms
07-15 00:56:37.562 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202619(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 267us total 225.547ms
07-15 00:56:39.116 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201462(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 168us total 215.440ms
07-15 00:56:40.681 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201516(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 217.712ms
07-15 00:56:42.246 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202296(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 147us total 216.245ms
07-15 00:56:43.768 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199088(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 164us total 209.378ms
07-15 00:56:45.343 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201937(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 151us total 217.864ms
07-15 00:56:46.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 202376(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 166us total 215.171ms
07-15 00:56:48.450 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200148(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 204us total 214.502ms
07-15 00:56:50.005 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199825(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 207us total 210.533ms
07-15 00:56:51.544 17906 17920 I vision.svplaye: Background concurrent copying GC freed 198900(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 144us total 214.194ms
07-15 00:56:53.100 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199831(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 187us total 213.936ms
07-15 00:56:54.644 17906 17920 I vision.svplaye: Background concurrent copying GC freed 199270(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 246us total 220.981ms
07-15 00:56:55.484 17906 17906 I SVStartup: state localReady=true checking=false activated=true playableSource=true route=profile
07-15 00:56:55.786 17906 17914 I vision.svplaye: JIT allocated 62KB for stack maps of void com.smartvision.svplayer.ui.profile.ProfileScreenKt.ProfileScreen(com.smartvision.svplayer.ui.i18n.SmartVisionStrings, com.smartvision.svplayer.ui.profile.ProfileUiState, com.smartvision.svplayer.domain.model.SyncStatus, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, java.lang.String, java.util.List, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, boolean, int, com.smartvision.svplayer.domain.access.PremiumFeatureGateResult, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.
07-15 00:56:55.796 17906 17914 I vision.svplaye: Compiler allocated 5MB to compile void com.smartvision.svplayer.ui.profile.ProfileScreenKt.ProfileScreen(com.smartvision.svplayer.ui.i18n.SmartVisionStrings, com.smartvision.svplayer.ui.profile.ProfileUiState, com.smartvision.svplayer.domain.model.SyncStatus, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, java.lang.String, java.util.List, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, boolean, int, com.smartvision.svplayer.domain.access.PremiumFeatureGateResult, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Fun
07-15 00:56:55.921 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 135092(4MB) AllocSpace objects, 2(104KB) LOS objects, 23% free, 19MB/25MB, paused 4.629ms total 241.469ms
07-15 00:56:56.098 17906 17906 I Choreographer: Skipped 35 frames!  The application may be doing too much work on its main thread.
07-15 00:56:56.146 17906 17920 I vision.svplaye: NativeAlloc concurrent copying GC freed 5769(203KB) AllocSpace objects, 2(68KB) LOS objects, 23% free, 19MB/25MB, paused 201us total 224.767ms
07-15 00:56:56.326 17906 17957 I OpenGLRenderer: Davey! duration=820ms; Flags=0, IntendedVsync=15860399218740, Vsync=15860983135990, OldestInputEvent=9223372036854775807, NewestInputEvent=0, HandleInputStart=15860992490252, AnimationStart=15860992539868, PerformTraversalsStart=15861016585560, DrawStart=15861017599945, SyncQueued=15861031791175, SyncStart=15861031938560, IssueDrawCommandsStart=15861047460098, SwapBuffers=15861218159714, FrameCompleted=15861219588868, DequeueBufferDuration=288000, QueueBufferDuration=428000, 
07-15 00:56:56.883 17906 17914 I vision.svplaye: JIT allocated 62KB for stack maps of void com.smartvision.svplayer.ui.profile.ProfileScreenKt.ProfileScreen(com.smartvision.svplayer.ui.i18n.SmartVisionStrings, com.smartvision.svplayer.ui.profile.ProfileUiState, com.smartvision.svplayer.domain.model.SyncStatus, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, java.lang.String, java.util.List, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, boolean, int, com.smartvision.svplayer.domain.access.PremiumFeatureGateResult, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.
07-15 00:56:56.891 17906 17914 I vision.svplaye: Compiler allocated 5MB to compile void com.smartvision.svplayer.ui.profile.ProfileScreenKt.ProfileScreen(com.smartvision.svplayer.ui.i18n.SmartVisionStrings, com.smartvision.svplayer.ui.profile.ProfileUiState, com.smartvision.svplayer.domain.model.SyncStatus, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, java.lang.String, java.util.List, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, boolean, int, com.smartvision.svplayer.domain.access.PremiumFeatureGateResult, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function0, boolean, kotlin.jvm.functions.Function0, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Fun
07-15 00:56:58.482 17906 17920 I vision.svplaye: Background concurrent copying GC freed 185765(5MB) AllocSpace objects, 0(0B) LOS objects, 22% free, 20MB/26MB, paused 214us total 227.618ms
07-15 00:57:00.850 17906 17920 I vision.svplaye: Background concurrent copying GC freed 212344(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 238us total 236.934ms
07-15 00:57:03.193 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201196(5MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 187us total 220.128ms
07-15 00:57:05.556 17906 17920 I vision.svplaye: Background concurrent copying GC freed 201554(5MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 240us total 215.701ms
07-15 00:57:07.908 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205308(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 281us total 217.760ms
07-15 00:57:10.265 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203126(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 251us total 224.253ms
07-15 00:57:12.637 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205340(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 260us total 220.945ms
07-15 00:57:15.006 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205082(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 221us total 233.995ms
07-15 00:57:17.373 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205410(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 261us total 228.863ms
07-15 00:57:19.740 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204874(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 186us total 220.089ms
07-15 00:57:22.104 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204324(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 314us total 230.585ms
07-15 00:57:24.449 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204177(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 347us total 223.594ms
07-15 00:57:26.805 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205328(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 221.524ms
07-15 00:57:29.161 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203788(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 270us total 224.680ms
07-15 00:57:31.516 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203815(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 214us total 227.298ms
07-15 00:57:33.875 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204395(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 229us total 219.404ms
07-15 00:57:36.239 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204288(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 178us total 228.507ms
07-15 00:57:38.599 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204743(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 236us total 228.793ms
07-15 00:57:40.967 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204322(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 240.722ms
07-15 00:57:43.282 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203565(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 229us total 231.208ms
07-15 00:57:45.648 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204078(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 262us total 237.773ms
07-15 00:57:47.986 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203744(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 203us total 238.728ms
07-15 00:57:50.338 17906 17920 I vision.svplaye: Background concurrent copying GC freed 207712(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 158us total 214.940ms
07-15 00:57:52.698 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203855(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 155us total 224.323ms
07-15 00:57:55.048 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205311(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 201us total 214.397ms
07-15 00:57:57.382 17906 17920 I vision.svplaye: Background concurrent copying GC freed 200850(6MB) AllocSpace objects, 1(20KB) LOS objects, 23% free, 19MB/25MB, paused 187us total 223.663ms
07-15 00:57:59.760 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204450(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 219us total 244.735ms
07-15 00:58:02.117 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204638(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 206us total 231.785ms
07-15 00:58:04.486 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205713(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 239.226ms
07-15 00:58:06.830 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203366(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 251us total 230.631ms
07-15 00:58:09.170 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203112(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 227us total 225.686ms
07-15 00:58:11.539 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204570(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 259us total 237.635ms
07-15 00:58:13.886 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204273(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 188us total 223.193ms
07-15 00:58:16.213 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203124(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 155us total 214.733ms
07-15 00:58:18.578 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203332(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 197us total 227.574ms
07-15 00:58:20.924 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204186(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 220.350ms
07-15 00:58:23.286 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204013(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 216us total 228.548ms
07-15 00:58:25.672 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205122(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 240us total 254.396ms
07-15 00:58:28.021 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205182(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 228.283ms
07-15 00:58:30.384 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203924(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 210us total 236.550ms
07-15 00:58:32.744 17906 17920 I vision.svplaye: Background concurrent copying GC freed 205677(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 239us total 222.304ms
07-15 00:58:35.105 17906 17920 I vision.svplaye: Background concurrent copying GC freed 204973(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 160us total 209.901ms
07-15 00:58:37.470 17906 17920 I vision.svplaye: Background concurrent copying GC freed 203628(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 193us total 233.341ms
07-15 00:58:39.822 17906 17920 I vision.svplaye: Background concurrent copying GC freed 206155(6MB) AllocSpace objects, 0(0B) LOS objects, 23% free, 19MB/25MB, paused 154us total 217.030ms
